id,label,parent,value
138875005_1,null,,429
373873005_1,null,138875005_1,37
763158003_1,null,373873005_1,37
763760008_1,null,763158003_1,37
768600002_1,null,763760008_1,14
48603004_1,null,768600002_1,14
777947006_1,null,48603004_1,12
780776009_1,null,777947006_1,2
780775008_1,null,777947006_1,10
375375005,null,,2
319733000,null,,2
319736008,null,,2
375374009,null,,1
375379004,null,,3
429307006_1,null,48603004_1,12
780775008_2,null,429307006_1,10
375375005,null,,2
319733000,null,,2
319736008,null,,2
375374009,null,,1
375379004,null,,3
429590002_1,null,48603004_1,2
780776009_2,null,429590002_1,2
768700009_1,null,763760008_1,23
768466004_1,null,768700009_1,23
768465000_1,null,768466004_1,23
1003720001_1,null,768465000_1,18
333710000_1,null,1003720001_1,18
768606008_1,null,333710000_1,18
108807002_1,null,768606008_1,18
398728003_1,null,108807002_1,1
774436001_1,null,398728003_1,1
442318002_1,null,108807002_1,6
1149556006_1,null,442318002_1,4
1149557002,null,,2
776141003_1,null,442318002_1,3
1149557002,null,,2
108675009_1,null,108807002_1,8
776332002_1,null,108675009_1,6
779552003_1,null,776332002_1,4
1237149000_1,null,779552003_1,3
400687000,null,,1
772526005_1,null,108675009_1,4
779552003_2,null,772526005_1,4
1237149000_2,null,779552003_2,3
400687000,null,,1
430307008_1,null,108807002_1,3
775135002_1,null,430307008_1,3
786144000_1,null,775135002_1,3
766202008,null,,1
1149506001,null,,2
785445001_1,null,430307008_1,3
786144000_2,null,785445001_1,3
766202008,null,,1
1149506001,null,,2
764892007_1,null,768465000_1,5
118259007_1,null,764892007_1,5
775851008_1,null,118259007_1,4
779193002_1,null,775851008_1,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
772456004_1,null,118259007_1,4
779193002_2,null,772456004_1,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
440132002_1,null,763158003_1,17
1149556006_2,null,440132002_1,4
1149557002,null,,2
772526005_2,null,440132002_1,4
779552003_3,null,772526005_2,4
1237149000_3,null,779552003_3,3
400687000,null,,1
772456004_2,null,440132002_1,4
779193002_3,null,772456004_2,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
785445001_2,null,440132002_1,3
786144000_3,null,785445001_2,3
766202008,null,,1
1149506001,null,,2
429590002_2,null,440132002_1,2
780776009_3,null,429590002_2,2
440131009_1,null,763158003_1,12
429307006_2,null,440131009_1,12
780775008_3,null,429307006_2,10
375375005,null,,2
319733000,null,,2
319736008,null,,2
375374009,null,,1
375379004,null,,3
1157189002_1,null,763158003_1,23
768465000_2,null,1157189002_1,23
1003720001_2,null,768465000_2,18
333710000_2,null,1003720001_2,18
768606008_2,null,333710000_2,18
108807002_2,null,768606008_2,18
398728003_2,null,108807002_2,1
774436001_2,null,398728003_2,1
442318002_2,null,108807002_2,6
1149556006_3,null,442318002_2,4
1149557002,null,,2
776141003_2,null,442318002_2,3
1149557002,null,,2
108675009_2,null,108807002_2,8
776332002_2,null,108675009_2,6
779552003_4,null,776332002_2,4
1237149000_4,null,779552003_4,3
400687000,null,,1
772526005_3,null,108675009_2,4
779552003_5,null,772526005_3,4
1237149000_5,null,779552003_5,3
400687000,null,,1
430307008_2,null,108807002_2,3
775135002_2,null,430307008_2,3
786144000_4,null,775135002_2,3
766202008,null,,1
1149506001,null,,2
785445001_3,null,430307008_2,3
786144000_5,null,785445001_3,3
766202008,null,,1
1149506001,null,,2
764892007_2,null,768465000_2,5
118259007_2,null,764892007_2,5
775851008_2,null,118259007_2,4
779193002_4,null,775851008_2,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
772456004_3,null,118259007_2,4
779193002_5,null,772456004_3,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
766779001_1,null,763158003_1,23
108940007_1,null,766779001_1,23
416897008_1,null,108940007_1,23
398728003_3,null,416897008_1,1
774436001_3,null,398728003_3,1
442318002_3,null,416897008_1,6
1149556006_4,null,442318002_3,4
1149557002,null,,2
776141003_3,null,442318002_3,3
1149557002,null,,2
108675009_3,null,416897008_1,8
776332002_3,null,108675009_3,6
779552003_6,null,776332002_3,4
1237149000_6,null,779552003_6,3
400687000,null,,1
772526005_4,null,108675009_3,4
779552003_7,null,772526005_4,4
1237149000_7,null,779552003_7,3
400687000,null,,1
430307008_3,null,416897008_1,3
775135002_3,null,430307008_3,3
786144000_6,null,775135002_3,3
766202008,null,,1
1149506001,null,,2
785445001_4,null,430307008_3,3
786144000_7,null,785445001_4,3
766202008,null,,1
1149506001,null,,2
118259007_3,null,416897008_1,5
775851008_3,null,118259007_3,4
779193002_6,null,775851008_3,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
772456004_4,null,118259007_3,4
779193002_7,null,772456004_4,4
1269330007,null,,1
766123007,null,,1
1217412007,null,,1
766122002,null,,1
404684003_1,null,138875005_1,429
386617003_1,null,404684003_1,31
53619000_1,null,386617003_1,31
42357009_1,null,53619000_1,2
63702009,null,,2
312158001_1,null,53619000_1,1
128398001_1,null,312158001_1,1
715852004_1,null,128398001_1,1
266071000_1,null,715852004_1,1
724534002,null,,1
312153005_1,null,715852004_1,1
724534002,null,,1
76712006_1,null,53619000_1,23
3855007_1,null,76712006_1,3
17346000_1,null,3855007_1,3
83469008_1,null,17346000_1,2
63702009,null,,2
80660001,null,,1
1290917001_1,null,76712006_1,1
235856003_1,null,1290917001_1,1
897152007_1,null,235856003_1,1
80515008_1,null,897152007_1,1
80660001,null,,1
254532005_1,null,76712006_1,1
255077007_1,null,254532005_1,1
363349007_1,null,255077007_1,1
276811008_1,null,363349007_1,1
448709005_1,null,276811008_1,1
449222008,null,,1
126824007_1,null,254532005_1,1
363349007_2,null,126824007_1,1
276811008_2,null,363349007_2,1
448709005_2,null,276811008_2,1
449222008,null,,1
85919009_1,null,76712006_1,10
85942002_1,null,85919009_1,10
235710003_1,null,85942002_1,6
54822007_1,null,235710003_1,2
16121001_1,null,54822007_1,1
2783007_1,null,16121001_1,1
35517004_1,null,2783007_1,1
77987006,null,,1
30514008_1,null,2783007_1,1
77987006,null,,1
196707000_1,null,16121001_1,1
30514008_2,null,196707000_1,1
77987006,null,,1
51868009_1,null,235710003_1,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
871633002,null,,1
235766003_1,null,85942002_1,3
46761000087106,null,,1
46040000_1,null,235766003_1,2
55957000,null,,1
64766004_1,null,46040000_1,1
445243001_1,null,64766004_1,1
266071000_2,null,85919009_1,1
724534002,null,,1
712510007_1,null,85919009_1,1
46761000087106,null,,1
119523007_1,null,85919009_1,3
302168000_1,null,119523007_1,1
64226004_1,null,302168000_1,1
64766004_2,null,64226004_1,1
445243001_2,null,64766004_2,1
128524007_1,null,119523007_1,2
67401000119103_1,null,128524007_1,2
46040000_2,null,67401000119103_1,2
55957000,null,,1
64766004_3,null,46040000_2,1
445243001_3,null,64766004_3,1
64226004_2,null,128524007_1,1
64766004_4,null,64226004_2,1
445243001_4,null,64766004_4,1
235766003_2,null,119523007_1,3
46761000087106,null,,1
46040000_3,null,235766003_2,2
55957000,null,,1
64766004_5,null,46040000_3,1
445243001_5,null,64766004_5,1
1187638005_1,null,85919009_1,1
302168000_2,null,1187638005_1,1
64226004_3,null,302168000_2,1
64766004_6,null,64226004_3,1
445243001_6,null,64766004_6,1
119522002_1,null,85919009_1,6
52182008_1,null,119522002_1,4
51868009_2,null,52182008_1,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
3411000119107_1,null,52182008_1,1
79806007,null,,1
235710003_2,null,119522002_1,6
54822007_2,null,235710003_2,2
16121001_2,null,54822007_2,1
2783007_2,null,16121001_2,1
35517004_2,null,2783007_2,1
77987006,null,,1
30514008_3,null,2783007_2,1
77987006,null,,1
196707000_2,null,16121001_2,1
30514008_4,null,196707000_2,1
77987006,null,,1
51868009_3,null,235710003_2,4
1197691004,null,,1
235692002,null,,1
79806007,null,,1
724534002,null,,1
304370001_1,null,119522002_1,2
54822007_3,null,304370001_1,2
16121001_3,null,54822007_3,1
2783007_3,null,16121001_3,1
35517004_3,null,2783007_3,1
77987006,null,,1
30514008_5,null,2783007_3,1
77987006,null,,1
196707000_3,null,16121001_3,1
30514008_6,null,196707000_3,1
77987006,null,,1
29384001_1,null,76712006_1,9
125626004_1,null,29384001_1,1
235674005_1,null,125626004_1,1
9829001_1,null,235674005_1,1
19850005_1,null,9829001_1,1
48974009,null,,1
62366003_1,null,9829001_1,1
48974009,null,,1
61401005_1,null,29384001_1,3
15902003_1,null,61401005_1,3
89748001_1,null,15902003_1,3
308882008,null,,1
70418001,null,,1
48974009,null,,1
62366003_2,null,15902003_1,1
48974009,null,,1
